DATETIME,DATE,TIME,ALUM,CL2,CW_CLR,CW_NTU,CW_PH,CW_WELL_LEVEL,FILT_NTU,F_RIDE,REMARKS,RIVERLEVEL,RW_CLR,RW_FLOW,RW_NTU,RW_PH,RW_PUMP_DUTY,T18ML_FLOW,T18ML_LEVEL,TW_FLOW,TW_PUMP_DUTY
2025-01-01 21:00:00,2025-01-01,21:00,0.04,1.6,5.0,0.11,7.3,3.64,0.05,0.01,,5.36,948.0,44.2,99.0,7.0,1.0,,,42.5,24.0
2025-01-01 23:00:00,2025-01-01,23:00,0.04,1.6,5.0,0.12,7.3,3.8,0.05,0.01,B/W filter no. 2&5 (10.00pm),5.47,950.0,48.9,100.0,7.0,1.0,,,42.0,24.0
2025-01-02 01:00:00,2025-01-02,01:00,0.06,1.6,5.0,0.31,7.3,3.55,0.07,0.01,,7.699999999999999,143.0,45.4,12.0,7.0,2.0,,,42.7,20.0
2025-01-02 03:00:00,2025-01-02,03:00,0.06,1.6,5.0,0.3,7.3,3.58,0.07,0.01,,9.93,143.0,45.1,12.0,7.0,2.0,,,42.6,20.0
2025-01-02 05:00:00,2025-01-02,05:00,0.06,1.6,5.0,0.27,7.3,3.68,0.07,0.01,,9.87,143.0,45.1,12.0,7.0,2.0,,,42.8,20.0
2025-01-02 07:00:00,2025-01-02,07:00,0.06,1.7,5.0,0.43,7.3,3.81,0.32,0.01,,10.23,158.0,45.4,16.0,7.0,2.0,,,42.7,20.0
2025-01-02 09:00:00,2025-01-02,09:00,0.06,1.7,5.0,0.43,7.3,3.81,0.32,0.01,,10.24,158.0,45.2,16.0,7.0,2.0,,,42.7,20.0
2025-01-02 11:00:00,2025-01-02,11:00,0.06,1.7,5.0,0.5,7.3,3.76,0.2,0.01,,10.26,158.0,45.6,16.0,7.0,2.0,,,42.8,20.0
2025-01-02 13:00:00,2025-01-02,13:00,0.06,1.7,5.0,0.44,7.3,3.61,0.32,0.01,,10.17,145.0,46.1,15.0,7.0,2.0,,,42.6,20.0
2025-01-02 15:00:00,2025-01-02,15:00,0.06,1.7,5.0,0.53,7.3,3.51,0.32,0.01,B/W filter no.3&3 (11.00pm),10.17,145.0,46.0,15.0,7.0,2.0,,,42.0,20.0
2025-01-02 17:00:00,2025-01-02,17:00,0.06,1.7,5.0,1.3599999999999999,7.3,3.41,0.32,0.01,B/W filter no.1&4 (11.00pm),10.17,145.0,46.0,14.0,7.0,2.0,,,42.2,20.0
2025-01-02 19:00:00,2025-01-02,19:00,0.06,1.7,5.0,1.3599999999999999,7.3,3.5,0.04,0.01,,9.91,145.0,44.6,13.0,7.0,2.0,,,42.2,20.0
2025-01-02 21:00:00,2025-01-02,21:00,0.06,1.7,5.0,1.3599999999999999,7.3,3.51,0.04,0.01,,9.91,145.0,44.6,13.0,7.0,2.0,,,42.2,20.0
2025-01-02 23:00:00,2025-01-02,23:00,0.06,1.6,5.0,0.32,7.3,3.58,0.07,0.01,B/W no.6,9.86,143.0,46.2,12.0,7.0,2.0,,,43.8,20.0
2025-01-03 01:00:00,2025-01-03,01:00,0.06,1.5,5.0,0.12,7.3,3.68,0.04,0.01,,4.99,220.0,44.7,24.0,7.0,2.0,,,41.1,23.0
2025-01-03 03:00:00,2025-01-03,03:00,0.06,1.5,5.0,0.12,7.3,3.71,0.04,0.01,,5.17,208.0,44.5,22.0,7.0,2.0,,,41.0,23.0
2025-01-03 05:00:00,2025-01-03,05:00,0.06,1.5,5.0,0.12,7.3,3.7,0.04,0.01,,5.25,192.0,44.5,21.0,7.0,2.0,,,41.0,23.0
2025-01-03 07:00:00,2025-01-03,07:00,0.06,1.6,5.0,0.23,7.3,3.32,0.23,0.01,B/W filter no 2&6 (2.45am),4.97,200.0,44.1,23.0,7.0,2.0,,,42.2,23.0
2025-01-03 09:00:00,2025-01-03,09:00,0.06,1.6,5.0,0.23,7.3,3.22,0.04,0.01,,5.09,200.0,45.7,23.0,7.0,2.0,,,42.1,23.0
2025-01-03 11:00:00,2025-01-03,11:00,0.06,1.6,5.0,0.22,7.3,3.22,0.04,0.01,,5.12,200.0,45.7,23.0,7.0,2.0,,,41.6,23.0
2025-01-03 13:00:00,2025-01-03,13:00,0.06,1.6,5.0,0.23,7.3,3.22,0.03,0.01,,5.01,250.0,47.2,30.0,7.0,2.0,,,41.7,23.0
2025-01-03 15:00:00,2025-01-03,15:00,0.06,1.6,5.0,0.23,7.3,3.22,0.04,0.01,,4.72,230.0,46.0,25.0,7.0,2.0,,,39.4,23.0
2025-01-03 17:00:00,2025-01-03,17:00,0.06,1.6,5.0,0.15,7.3,3.5,0.04,0.01,,4.67,200.0,45.8,23.0,7.0,2.0,,,40.4,23.0
2025-01-03 19:00:00,2025-01-03,19:00,0.06,1.5,5.0,0.14,7.3,3.61,0.04,0.01,,4.63,235.0,45.0,27.0,7.0,2.0,,,41.0,23.0
2025-01-03 21:00:00,2025-01-03,21:00,0.06,1.5,5.0,0.14,7.3,3.68,0.04,0.01,,4.64,230.0,44.9,25.0,7.0,2.0,,,41.1,23.0
2025-01-03 23:00:00,2025-01-03,23:00,0.06,1.5,5.0,0.13,7.3,3.68,0.04,0.01,,4.87,232.0,44.8,26.0,7.0,2.0,,,41.0,23.0
2025-01-04 01:00:00,2025-01-04,01:00,0.05,1.5,5.0,0.13,7.3,3.81,0.14,0.01,,6.82,554.0,47.3,60.0,7.0,2.0,,,43.6,24.0
2025-01-04 03:00:00,2025-01-04,03:00,0.05,1.6,5.0,0.14,7.3,3.79,0.15,0.01,,6.79,542.0,47.0,57.0,7.0,2.0,,,43.5,24.0
2025-01-04 05:00:00,2025-01-04,05:00,0.05,1.6,5.0,0.17,7.3,3.82,0.24,0.01,,6.78,530.0,47.2,54.0,7.0,2.0,,,43.5,24.0
2025-01-04 07:00:00,2025-01-04,07:00,0.05,1.7,5.0,0.1,7.3,3.83,0.06,0.01,,7.45,1145.0,48.4,120.0,7.0,2.0,,,43.5,24.0
2025-01-04 09:00:00,2025-01-04,09:00,0.05,1.5,5.0,0.1,7.3,3.72,0.08,0.01,B/W filter no.3,7.5,1145.0,48.6,125.0,7.0,2.0,,,43.6,24.0
2025-01-04 11:00:00,2025-01-04,11:00,0.05,1.6,5.0,0.1,7.3,3.83,0.06,0.01,,7.59,988.0,48.2,109.0,7.0,2.0,,,43.8,24.0
2025-01-04 13:00:00,2025-01-04,13:00,0.05,1.6,5.0,0.1,7.3,3.86,0.07,0.01,,7.44,931.0,47.6,94.0,7.0,2.0,,,43.6,24.0
2025-01-04 15:00:00,2025-01-04,15:00,0.05,1.6,5.0,0.11,7.3,3.81,0.09,0.01,,7.22,680.0,48.1,76.0,7.0,2.0,,,42.6,24.0
2025-01-04 17:00:00,2025-01-04,17:00,0.05,1.6,5.0,0.12,7.3,3.79,0.09,0.01,,7.21,540.0,47.6,62.0,7.0,2.0,,,42.6,24.0
2025-01-04 19:00:00,2025-01-04,19:00,0.05,1.6,5.0,0.13,7.3,3.78,0.13,0.01,,7.01,537.0,47.0,55.0,7.0,2.0,,,42.6,24.0
2025-01-04 21:00:00,2025-01-04,21:00,0.05,1.6,5.0,0.13,7.3,3.76,0.16,0.01,,6.89,537.0,47.0,55.0,7.0,2.0,,,42.6,24.0
2025-01-04 23:00:00,2025-01-04,23:00,0.05,1.5,5.0,0.13,7.3,3.8,0.13,0.01,,6.8,561.0,47.0,63.0,7.0,2.0,,,43.5,24.0
2025-01-09 01:00:00,2025-01-09,01:00,0.05,1.3,5.0,0.26,7.3,3.83,0.15,0.01,,3.43,211.0,53.6,20.0,7.0,2.0,,,47.9,27.0
2025-01-09 03:00:00,2025-01-09,03:00,0.05,1.5,5.0,0.26,7.3,3.83,0.16,0.01,,3.43,205.0,53.5,19.0,7.0,2.0,,,47.9,27.0
2025-01-09 05:00:00,2025-01-09,05:00,0.05,1.5,5.0,0.26,7.3,3.83,0.18,0.01,,3.42,196.0,53.2,18.0,7.0,2.0,,,47.6,27.0
2025-01-09 07:00:00,2025-01-09,07:00,0.05,1.5,5.0,0.23,7.3,3.8,0.1,0.01,,3.5,330.0,53.2,29.0,7.0,2.0,,,48.0,27.0
2025-01-09 09:00:00,2025-01-09,09:00,0.05,1.3,5.0,0.27,7.3,3.81,0.11,0.01,,3.4875,350.0,53.2,33.0,7.0,2.0,,,48.0,27.0
2025-01-09 11:00:00,2025-01-09,11:00,0.05,1.3,5.0,0.28,7.3,3.8,0.1,0.01,,3.475,350.0,53.2,32.0,7.0,2.0,,,48.0,27.0
2025-01-09 13:00:00,2025-01-09,13:00,0.05,1.6,5.0,0.24,7.3,3.81,0.12,0.01,,3.4625000000000004,380.0,53.2,34.0,7.0,2.0,,,48.0,27.0
2025-01-09 15:00:00,2025-01-09,15:00,0.05,1.2,5.0,0.24,7.3,3.83,0.11,0.01,,3.45,380.0,52.8,41.0,7.0,2.0,,,47.9,27.0
2025-01-09 17:00:00,2025-01-09,17:00,0.05,1.3,5.0,0.24,7.3,3.83,0.1,0.01,,3.43,315.0,56.3,28.0,7.0,2.0,,,47.9,27.0
2025-01-09 19:00:00,2025-01-09,19:00,0.05,1.2,5.0,0.25,7.3,3.84,0.15,0.01,,3.42,270.0,55.0,22.0,7.0,2.0,,,48.0,27.0
2025-01-09 21:00:00,2025-01-09,21:00,0.05,1.2,5.0,0.24,7.3,3.83,0.15,0.01,,3.45,275.0,53.1,24.0,7.0,2.0,,,47.9,27.0
2025-01-09 23:00:00,2025-01-09,23:00,0.05,1.1,5.0,0.26,7.3,3.83,0.13,0.01,,3.44,250.0,53.8,22.0,7.0,2.0,,,47.9,27.0
2025-01-10 01:00:00,2025-01-10,01:00,0.06,1.4,5.0,0.43,7.3,3.81,0.04,0.01,,3.6275,214.0,52.6,23.0,7.0,1.0,,,48.3,27.0
2025-01-10 03:00:00,2025-01-10,03:00,0.06,1.4,5.0,0.43,7.3,3.81,0.04,0.01,,3.8150000000000004,214.0,52.5,23.0,7.0,1.0,,,48.2,27.0
2025-01-10 05:00:00,2025-01-10,05:00,0.06,1.4,5.0,0.43,7.3,3.81,0.04,0.01,,4.0025,214.0,52.2,23.0,7.0,1.0,,,48.2,27.0
2025-01-10 07:00:00,2025-01-10,07:00,0.06,1.4,5.0,0.41,7.3,3.84,0.07,0.01,,4.19,200.0,52.6,22.0,7.0,1.0,,,47.4,27.0
2025-01-10 09:00:00,2025-01-10,09:00,0.06,1.4,5.0,0.41,7.3,3.81,0.07,0.01,,4.16,224.0,52.7,25.0,7.0,1.0,,,47.3,27.0
2025-01-10 11:00:00,2025-01-10,11:00,0.06,1.4,5.0,0.42,7.3,3.81,0.07,0.01,,4.12,214.0,52.6,23.0,7.0,1.0,,,47.1,27.0
2025-01-10 13:00:00,2025-01-10,13:00,0.06,1.4,5.0,0.43,7.3,3.82,0.07,0.01,,4.07,214.0,52.4,23.0,7.0,1.0,,,47.8,27.0
2025-01-10 15:00:00,2025-01-10,15:00,0.06,1.1,5.0,0.44,7.3,3.83,0.08,0.01,,4.04,214.0,52.6,23.0,7.0,1.0,,,48.3,27.0
2025-01-10 17:00:00,2025-01-10,17:00,0.06,1.3,5.0,0.44,7.3,3.83,0.1,0.01,,3.95,220.0,52.1,24.0,7.0,1.0,,,48.3,27.0
2025-01-10 19:00:00,2025-01-10,19:00,0.06,1.4,5.0,0.44,7.3,3.83,0.1,0.01,,3.93,220.0,52.1,24.0,7.0,1.0,,,48.3,27.0
2025-01-10 21:00:00,2025-01-10,21:00,0.06,1.4,5.0,0.44,7.3,3.83,0.11,0.01,,3.92,214.0,53.5,23.0,7.0,1.0,,,48.2,27.0
2025-01-10 23:00:00,2025-01-10,23:00,0.06,1.4,5.0,0.44,7.3,3.78,0.04,0.01,,3.89,214.0,52.4,23.0,7.0,1.0,,,48.2,27.0
2025-01-11 01:00:00,2025-01-11,01:00,0.05,2.0,5.0,0.19,7.3,3.7,0.05,0.01,,3.87,195.0,52.0,18.0,7.0,2.0,,,47.1,27.0
2025-01-11 03:00:00,2025-01-11,03:00,0.05,2.0,5.0,0.18,7.3,3.79,0.05,0.01,,3.84,195.0,51.5,18.0,7.0,2.0,,,47.3,27.0
2025-01-11 05:00:00,2025-01-11,05:00,0.05,2.3,5.0,0.17,7.3,3.83,0.04,0.01,,3.88,189.0,51.4,17.0,7.0,2.0,,,47.2,27.0
2025-01-11 07:00:00,2025-01-11,07:00,0.05,1.7,5.0,0.15,7.3,3.84,0.05,0.01,,4.18,80.0,52.5,8.0,7.0,1.0,,,47.3,27.0
2025-01-11 09:00:00,2025-01-11,09:00,0.05,1.7,5.0,0.15,7.3,3.84,0.05,0.01,,4.21,91.0,52.5,9.0,7.0,1.0,,,47.3,27.0
2025-01-11 11:00:00,2025-01-11,11:00,0.05,1.5,5.0,0.15,7.3,3.84,0.05,0.01,,4.23,104.0,53.0,10.0,7.0,1.0,,,47.1,27.0
2025-01-11 13:00:00,2025-01-11,13:00,0.05,1.4,5.0,0.15,7.3,3.84,0.03,0.01,,4.26,104.0,53.0,10.0,7.0,1.0,,,47.4,27.0
2025-01-11 15:00:00,2025-01-11,15:00,0.05,1.4,5.0,0.17,7.3,3.84,0.04,0.01,,4.25,104.0,52.8,10.0,7.0,1.0,,,47.1,27.0
2025-01-11 17:00:00,2025-01-11,17:00,0.05,1.8,5.0,0.15,7.3,3.84,0.04,0.01,,4.16,104.0,52.4,10.0,7.0,1.0,,,47.3,27.0
2025-01-11 19:00:00,2025-01-11,19:00,0.05,1.8,5.0,0.2,7.3,3.83,0.04,0.01,,4.15,126.0,52.3,12.0,7.0,1.0,,,47.3,27.0
2025-01-11 21:00:00,2025-01-11,21:00,0.05,1.7,5.0,0.19,7.3,3.84,0.04,0.01,,4.16,161.0,52.4,15.0,7.0,2.0,,,47.3,27.0
2025-01-11 23:00:00,2025-01-11,23:00,0.05,2.1,5.0,0.2,7.3,3.83,0.06,0.01,,3.9,195.0,51.3,18.0,7.0,2.0,,,47.0,27.0
2025-01-12 01:00:00,2025-01-12,01:00,0.06,1.1,5.0,0.25,7.3,3.83,0.04,0.01,,4.81,260.0,54.21,24.0,7.0,2.0,,,50.2,27.0
2025-01-12 03:00:00,2025-01-12,03:00,0.06,1.0,5.0,0.27,7.3,3.83,0.04,0.01,,4.86,260.0,54.6,24.0,7.0,2.0,,,50.3,27.0
2025-01-12 05:00:00,2025-01-12,05:00,0.06,1.0,5.0,0.24,7.3,3.83,0.04,0.01,,4.98,280.0,54.5,28.0,7.0,2.0,,,50.5,27.0
2025-01-12 07:00:00,2025-01-12,07:00,0.05,1.0,5.0,0.21,7.3,3.84,0.03,0.01,,4.89,210.0,54.0,21.0,7.0,2.0,,,52.0,27.0
2025-01-12 09:00:00,2025-01-12,09:00,0.05,1.0,5.0,0.22,7.3,3.84,0.04,0.01,,4.86,300.0,54.0,20.0,7.0,2.0,,,52.0,27.0
2025-01-12 11:00:00,2025-01-12,11:00,0.05,1.0,5.0,0.24,7.3,3.82,0.04,0.01,,4.81,210.0,54.1,21.0,7.0,2.0,,,52.0,27.0
2025-01-12 13:00:00,2025-01-12,13:00,0.05,1.0,5.0,0.24,7.3,3.84,0.03,0.01,,4.76,210.0,54.0,21.0,7.0,2.0,,,51.9,27.0
2025-01-12 15:00:00,2025-01-12,15:00,0.06,1.0,5.0,0.34,7.3,3.84,0.04,0.01,,4.73,211.0,54.8,22.0,7.0,2.0,,,50.4,27.0
2025-01-12 17:00:00,2025-01-12,17:00,0.06,1.0,5.0,0.26,7.3,3.84,0.04,0.01,,4.72,282.0,54.6,27.0,7.0,2.0,,,50.6,27.0
2025-01-12 19:00:00,2025-01-12,19:00,0.06,1.0,5.0,0.26,7.3,3.84,0.04,0.01,,4.77,324.0,54.4,31.0,7.0,2.0,,,50.2,27.0
2025-01-12 21:00:00,2025-01-12,21:00,0.06,1.2,5.0,0.26,7.3,3.83,0.04,0.01,,4.76,311.0,54.6,29.0,7.0,2.0,,,50.4,27.0
2025-01-12 23:00:00,2025-01-12,23:00,0.06,1.2,5.0,0.25,7.3,3.83,0.04,0.01,,4.77,284.0,54.2,27.0,7.0,2.0,,,50.6,27.0
2025-01-13 01:00:00,2025-01-13,01:00,0.05,1.5,5.0,0.13,7.3,3.68,0.04,0.01,,6.18,414.0,45.5,44.0,7.0,1.0,,,42.3,20.0
2025-01-13 03:00:00,2025-01-13,03:00,0.05,1.5,5.0,0.13,7.3,3.72,0.04,0.01,,6.29,430.0,45.5,50.0,7.0,1.0,,,42.3,20.0
2025-01-13 05:00:00,2025-01-13,05:00,0.05,1.5,5.0,0.13,7.3,3.56,0.04,0.01,,6.59,474.0,45.5,59.0,7.0,1.0,,,42.3,20.0
2025-01-13 07:00:00,2025-01-13,07:00,0.05,1.5,5.0,0.13,7.3,3.67,0.03,0.01,B/W filter no. 1&4 (0700am),5.56,520.0,45.3,46.0,7.0,2.0,,,41.9,20.0
2025-01-13 09:00:00,2025-01-13,09:00,0.05,1.5,5.0,0.14,7.3,3.76,0.03,0.01,,5.55,520.0,45.7,48.0,7.0,2.0,,,42.0,20.0
2025-01-13 11:00:00,2025-01-13,11:00,0.05,1.5,5.0,0.14,7.3,3.78,0.03,0.01,,5.47,450.0,46.4,37.0,7.0,2.0,,,42.8,20.0
2025-01-13 13:00:00,2025-01-13,13:00,0.05,1.5,5.0,0.14,7.3,3.79,0.03,0.01,,5.37,480.0,44.3,42.0,7.0,2.0,,,41.7,20.0
2025-01-13 15:00:00,2025-01-13,15:00,0.06,1.6,5.0,0.14,7.3,3.73,0.03,0.01,,5.17,600.0,45.0,56.0,7.0,2.0,,,41.7,20.0
2025-01-13 17:00:00,2025-01-13,17:00,0.06,1.6,5.0,0.14,7.3,3.8,0.03,0.01,,5.15,500.0,44.5,43.0,7.0,1.0,,,41.8,20.0
2025-01-13 19:00:00,2025-01-13,19:00,0.05,1.5,5.0,0.14,7.3,3.81,0.04,0.01,,5.19,385.0,44.4,38.0,7.0,1.0,,,41.9,20.0
2025-01-13 21:00:00,2025-01-13,21:00,0.05,1.5,5.0,0.14,7.3,3.79,0.04,0.01,B/W no 3 (3.50),5.54,385.0,44.3,39.0,7.0,1.0,,,42.1,20.0
2025-01-13 23:00:00,2025-01-13,23:00,0.05,1.6,5.0,0.14,7.3,3.64,0.04,0.01,,5.73,386.0,45.1,39.0,7.0,1.0,,,41.9,20.0
2025-01-14 01:00:00,2025-01-14,01:00,0.05,1.6,5.0,0.14,7.3,3.81,0.03,0.01,,6.22,420.0,45.2,43.0,7.0,1.0,,,41.8,20.0
2025-01-14 03:00:00,2025-01-14,03:00,0.05,1.7,5.0,0.13,7.3,3.81,0.03,0.01,,6.11,420.0,45.4,43.0,7.0,1.0,,,41.9,20.0
2025-01-14 05:00:00,2025-01-14,05:00,0.05,1.7,5.0,0.13,7.3,3.81,0.03,0.01,,5.95,411.0,45.5,42.0,7.0,1.0,,,41.9,20.0
2025-01-14 07:00:00,2025-01-14,07:00,0.05,1.5,5.0,0.14,7.3,3.71,0.03,0.01,,5.72,1145.0,46.1,113.0,7.0,1.0,,,41.6,20.0
2025-01-14 09:00:00,2025-01-14,09:00,0.05,1.5,5.0,0.13,7.3,3.81,0.03,0.01,,6.82,1145.0,47.1,120.0,7.0,1.0,,,41.8,20.0
2025-01-14 11:00:00,2025-01-14,11:00,0.05,1.5,5.0,0.13,7.3,3.81,0.03,0.01,,6.83,800.0,48.1,82.0,7.0,1.0,,,41.7,20.0
2025-01-14 13:00:00,2025-01-14,13:00,0.05,1.5,5.0,0.14,7.3,3.8,0.03,0.01,,6.73,680.0,48.2,72.0,7.0,1.0,,,41.8,20.0
2025-01-14 15:00:00,2025-01-14,15:00,0.05,1.5,5.0,0.14,7.3,3.8,0.03,0.01,,6.66,550.0,46.1,55.0,7.0,1.0,,,41.8,20.0
2025-01-14 17:00:00,2025-01-14,17:00,0.05,1.5,5.0,0.15,7.3,3.81,0.03,0.01,,6.51,520.0,44.9,49.0,7.0,1.0,,,41.9,20.0
2025-01-14 19:00:00,2025-01-14,19:00,0.05,1.6,5.0,0.15,7.3,3.81,0.03,0.01,,6.37,510.0,44.0,48.0,7.0,1.0,,,41.8,20.0
2025-01-14 21:00:00,2025-01-14,21:00,0.05,1.6,5.0,0.14,7.3,3.79,0.02,0.01,,6.3,510.0,44.3,47.0,7.0,1.0,,,41.9,20.0
2025-01-14 23:00:00,2025-01-14,23:00,0.05,1.6,5.0,0.14,7.3,3.81,0.03,0.01,,6.28,420.0,45.2,42.0,7.0,1.0,,,41.8,20.0
2025-01-15 01:00:00,2025-01-15,01:00,0.05,1.6,5.0,0.14,7.3,3.76,0.04,0.01,,5.66,290.0,45.4,24.0,7.0,2.0,,,41.7,20.0
2025-01-15 03:00:00,2025-01-15,03:00,0.05,1.5,5.0,0.14,7.3,3.79,0.05,0.01,,5.6,211.0,45.5,22.0,7.0,2.0,,,41.7,20.0
2025-01-15 05:00:00,2025-01-15,05:00,0.05,1.5,5.0,0.15,7.3,3.81,0.05,0.01,,5.53,184.0,45.8,19.0,7.0,2.0,,,41.4,20.0
2025-01-15 07:00:00,2025-01-15,07:00,0.05,1.6,5.0,0.14,7.3,3.78,0.03,0.01,B/W filter no.6 (0045am),5.89,450.0,43.6,44.0,7.0,1.0,,,41.7,20.0
2025-01-15 09:00:00,2025-01-15,09:00,0.05,1.6,5.0,0.14,7.3,3.69,0.03,0.01,,5.91,450.0,44.0,45.0,7.0,1.0,,,41.7,20.0
2025-01-15 11:00:00,2025-01-15,11:00,0.05,1.7,5.0,0.15,7.3,3.74,0.03,0.01,,5.88,450.0,44.8,46.0,7.0,1.0,,,41.7,20.0
2025-01-15 13:00:00,2025-01-15,13:00,0.05,1.6,5.0,0.16,7.3,3.75,0.03,0.01,,5.78,450.0,44.6,43.0,7.0,1.0,,,41.7,20.0
2025-01-15 15:00:00,2025-01-15,15:00,0.05,1.6,5.0,0.15,7.3,3.78,0.03,0.01,,5.73,450.0,43.6,43.0,7.0,1.0,,,42.0,20.0
2025-01-15 17:00:00,2025-01-15,17:00,0.05,1.5,5.0,0.15,7.3,3.66,0.03,0.01,,5.56,380.0,45.7,35.0,7.0,2.0,,,41.8,20.0
2025-01-15 19:00:00,2025-01-15,19:00,0.05,1.6,5.0,0.15,7.3,3.73,0.04,0.01,,5.56,330.0,45.4,28.0,7.0,2.0,,,41.8,20.0
2025-01-15 21:00:00,2025-01-15,21:00,0.05,1.6,5.0,0.18,7.3,3.52,0.04,0.01,"B/W no. 1,5",5.57,275.0,45.2,22.0,7.0,2.0,,,42.0,20.0
2025-01-15 23:00:00,2025-01-15,23:00,0.05,1.6,5.0,0.17,7.3,3.62,0.04,0.01,,5.58,290.0,45.0,24.0,7.0,2.0,,,41.7,20.0
2025-01-16 01:00:00,2025-01-16,01:00,0.05,1.6,5.0,0.13,7.3,3.79,0.03,0.01,,5.66,363.0,45.1,46.0,7.0,2.0,,,42.0,20.0
2025-01-16 03:00:00,2025-01-16,03:00,0.05,1.5,5.0,0.13,7.3,3.78,0.03,0.01,,5.57,268.0,45.0,34.0,7.0,2.0,,,42.0,20.0
2025-01-16 05:00:00,2025-01-16,05:00,0.05,1.5,5.0,0.13,7.3,3.78,0.03,0.01,,5.49,210.0,45.0,28.0,7.0,2.0,,,42.0,20.0
2025-01-16 07:00:00,2025-01-16,07:00,0.05,1.5,5.0,0.16,7.3,3.78,0.05,0.01,B/W filter no.3&4 (0045am),5.52,180.0,44.4,18.0,7.0,2.0,,,41.6,20.0
2025-01-16 09:00:00,2025-01-16,09:00,0.05,1.5,5.0,0.16,7.3,3.66,0.05,0.01,,5.58,180.0,44.7,18.0,7.0,2.0,,,41.6,20.0
2025-01-16 11:00:00,2025-01-16,11:00,0.05,1.5,5.0,0.15,7.3,3.73,0.05,0.01,,5.69,180.0,44.1,18.0,7.0,2.0,,,41.7,20.0
2025-01-16 13:00:00,2025-01-16,13:00,0.05,1.6,5.0,0.16,7.3,3.72,0.05,0.01,,5.68,185.0,44.4,20.0,7.0,2.0,,,41.7,20.0
2025-01-16 15:00:00,2025-01-16,15:00,0.05,1.5,5.0,0.16,7.3,3.81,0.06,0.01,,5.53,170.0,45.1,17.0,7.0,2.0,,,41.8,20.0
2025-01-16 17:00:00,2025-01-16,17:00,0.05,1.5,5.0,0.16,7.3,3.82,0.07,0.01,B/W no.2,5.5,168.0,45.3,16.0,7.0,2.0,,,42.0,20.0
2025-01-16 19:00:00,2025-01-16,19:00,0.05,1.5,5.0,0.16,7.3,3.76,0.03,0.01,,5.49,380.0,44.9,32.0,7.0,2.0,,,42.0,20.0
2025-01-16 21:00:00,2025-01-16,21:00,0.05,1.5,5.0,0.15,7.3,3.81,0.03,0.01,,5.47,474.0,45.2,59.0,7.0,2.0,,,42.0,20.0
2025-01-16 23:00:00,2025-01-16,23:00,0.05,1.6,5.0,0.15,7.3,3.81,0.03,0.01,,5.52,487.0,45.3,61.0,7.0,2.0,,,42.0,20.0
2025-01-17 01:00:00,2025-01-17,01:00,0.05,1.5,5.0,0.14,7.3,3.78,0.03,0.01,,5.3,214.0,45.3,15.0,7.0,1.0,,,42.0,20.0
2025-01-17 03:00:00,2025-01-17,03:00,0.05,1.5,5.0,0.16,7.3,3.78,0.03,0.01,,5.24,214.0,45.2,15.0,7.0,1.0,,,42.0,20.0
2025-01-17 05:00:00,2025-01-17,05:00,0.05,1.5,5.0,0.17,7.3,3.78,0.03,0.01,,5.14,201.0,45.0,14.0,7.0,1.0,,,42.0,20.0
