时间(s),温度(°C)
71.0,132.6598
71.5,133.0484
72.0,133.4334
72.5,133.8146
73.0,134.1921
73.5,134.5661
74.0,134.9364
74.5,135.3031
75.0,135.6663
75.5,136.0260
76.0,136.3823
76.5,136.7351
77.0,137.0845
77.5,137.4305
78.0,137.7732
78.5,138.1126
79.0,138.4488
79.5,138.7817
80.0,139.1114
80.5,139.4379
81.0,139.7613
81.5,140.0815
82.0,140.3987
82.5,140.7128
83.0,141.0239
83.5,141.3320
84.0,141.6371
84.5,141.9393
85.0,142.2385
85.5,142.5349
86.0,142.8285
86.5,143.1192
87.0,143.4071
87.5,143.6922
88.0,143.9746
88.5,144.2542
89.0,144.5312
89.5,144.8055
90.0,145.0771
90.5,145.3462
91.0,145.6126
91.5,145.8765
92.0,146.1378
92.5,146.3967
93.0,146.6530
93.5,146.9068
94.0,147.1582
94.5,147.4072
95.0,147.6538
95.5,147.8980
96.0,148.1399
96.5,148.3794
97.0,148.6166
97.5,148.8516
98.0,149.0842
98.5,149.3147
99.0,149.5429
99.5,149.7689
100.0,149.9927
100.5,150.2144
101.0,150.4339
101.5,150.6514
102.0,150.8667
102.5,151.0799
103.0,151.2911
103.5,151.5003
104.0,151.7075
104.5,151.9126
105.0,152.1158
105.5,152.3170
106.0,152.5163
106.5,152.7136
107.0,152.9091
107.5,153.1027
108.0,153.2944
108.5,153.4843
109.0,153.6723
109.5,153.8585
110.0,154.0429
110.5,154.2256
111.0,154.4065
111.5,154.5856
112.0,154.7631
112.5,154.9388
113.0,155.1128
113.5,155.2851
114.0,155.4558
114.5,155.6249
115.0,155.7923
115.5,155.9581
116.0,156.1223
116.5,156.2849
117.0,156.4459
117.5,156.6054
118.0,156.7634
118.5,156.9198
119.0,157.0748
119.5,157.2282
120.0,157.3802
120.5,157.5307
121.0,157.6797
121.5,157.8273
122.0,157.9735
122.5,158.1183
123.0,158.2617
123.5,158.4037
124.0,158.5443
124.5,158.6836
125.0,158.8215
125.5,158.9581
126.0,159.0934
126.5,159.2274
127.0,159.3601
127.5,159.4915
128.0,159.6217
128.5,159.7506
129.0,159.8783
129.5,160.0047
130.0,160.1299
130.5,160.2539
131.0,160.3767
131.5,160.4983
132.0,160.6188
132.5,160.7381
133.0,160.8562
133.5,160.9732
134.0,161.0891
134.5,161.2039
135.0,161.3175
135.5,161.4301
136.0,161.5416
136.5,161.6520
137.0,161.7616
137.5,161.9244
138.0,162.0869
138.5,162.2512
139.0,162.4203
139.5,162.5974
140.0,162.7860
140.5,162.9883
141.0,163.2055
141.5,163.4377
142.0,163.6842
142.5,163.9437
143.0,164.2148
143.5,164.4961
144.0,164.7862
144.5,165.0840
145.0,165.3881
145.5,165.6975
146.0,166.0113
146.5,166.3285
147.0,166.6485
147.5,166.9705
148.0,167.2938
148.5,167.6181
149.0,167.9426
149.5,168.2671
150.0,168.5911
150.5,168.9143
151.0,169.2363
151.5,169.5570
152.0,169.8761
152.5,170.1933
153.0,170.5085
153.5,170.8215
154.0,171.1323
154.5,171.4406
155.0,171.7463
155.5,172.0495
156.0,172.3500
156.5,172.6477
157.0,172.9426
157.5,173.2347
158.0,173.5239
158.5,173.8102
159.0,174.0935
159.5,174.3740
160.0,174.6514
160.5,174.9259
161.0,175.1975
161.5,175.4661
162.0,175.7318
162.5,175.9945
163.0,176.2544
163.5,176.5117
164.0,176.7668
164.5,177.0206
165.0,177.3926
165.5,177.7708
166.0,178.1621
166.5,178.5740
167.0,179.0119
167.5,179.4789
168.0,179.9746
168.5,180.4967
169.0,181.0415
169.5,181.6055
170.0,182.1851
170.5,182.7771
171.0,183.3787
171.5,183.9874
172.0,184.6008
172.5,185.2171
173.0,185.8346
173.5,186.4518
174.0,187.0676
174.5,187.6809
175.0,188.2907
175.5,188.8964
176.0,189.4974
176.5,190.0929
177.0,190.6828
177.5,191.2665
178.0,191.8438
178.5,192.4144
179.0,192.9781
179.5,193.5348
180.0,194.0845
180.5,194.6269
181.0,195.1620
181.5,195.6899
182.0,196.2105
182.5,196.7238
183.0,197.2298
183.5,197.7285
184.0,198.2201
184.5,198.7045
185.0,199.1818
185.5,199.6521
186.0,200.1154
186.5,200.5719
187.0,201.0215
187.5,201.4645
188.0,201.9007
188.5,202.3304
189.0,202.7537
189.5,203.1706
190.0,203.5814
190.5,203.9870
191.0,204.3886
191.5,204.7888
192.0,205.0950
192.5,205.4038
193.0,205.7171
193.5,206.0365
194.0,206.3638
194.5,206.7002
195.0,207.0467
195.5,207.4040
196.0,207.7720
196.5,208.1504
197.0,208.5387
197.5,208.9360
198.0,209.3415
198.5,209.7542
199.0,210.1731
199.5,210.5973
200.0,211.0260
200.5,211.4581
201.0,211.8930
201.5,212.3300
202.0,212.7682
202.5,213.2073
203.0,213.6465
203.5,214.0854
204.0,214.5236
204.5,214.9606
205.0,215.3962
205.5,215.8299
206.0,216.2615
206.5,216.6908
207.0,217.1175
207.5,217.5415
208.0,217.9625
208.5,218.3805
209.0,218.7953
209.5,219.2067
210.0,219.6148
210.5,220.0194
211.0,220.4205
211.5,220.8180
212.0,221.2118
212.5,221.6019
213.0,221.9884
213.5,222.3711
214.0,222.7501
214.5,223.1253
215.0,223.4967
215.5,223.8644
216.0,224.2284
216.5,224.5886
217.0,224.9451
217.5,225.2979
218.0,225.6470
218.5,225.9924
219.0,226.3342
219.5,226.6723
220.0,227.0068
220.5,227.3378
221.0,227.6652
221.5,227.9891
222.0,228.3094
222.5,228.6263
223.0,228.9398
223.5,229.2499
224.0,229.5566
224.5,229.8599
225.0,230.1600
225.5,230.4567
226.0,230.7503
226.5,231.0406
227.0,231.3277
227.5,231.6116
228.0,231.8925
228.5,232.1702
229.0,232.4450
229.5,232.7166
230.0,232.9853
230.5,233.2511
231.0,233.5139
231.5,233.7738
232.0,234.0308
232.5,234.2850
233.0,234.5364
233.5,234.7850
234.0,235.0309
234.5,235.2741
235.0,235.5145
235.5,235.7524
236.0,235.9875
236.5,236.2201
237.0,236.4502
237.5,236.6776
238.0,236.9026
238.5,237.1251
239.0,237.3451
239.5,237.5626
240.0,237.7778
240.5,237.9906
241.0,238.2010
241.5,238.4092
242.0,238.6150
242.5,238.8185
243.0,239.0198
243.5,239.2188
244.0,239.4156
244.5,239.6099
245.0,239.8011
245.5,239.9871
246.0,240.1637
246.5,240.3234
247.0,240.4553
247.5,240.5456
248.0,240.5782
248.5,240.5360
249.0,240.4954
249.5,240.4394
250.0,240.3671
250.5,240.2775
251.0,240.1700
251.5,240.0439
252.0,239.8984
252.5,239.7333
253.0,239.5481
253.5,239.3426
254.0,239.1166
254.5,238.8699
255.0,238.6025
255.5,238.3142
256.0,238.0050
256.5,237.6748
257.0,237.3238
257.5,236.9520
258.0,236.5595
258.5,236.1466
259.0,235.7135
259.5,235.2605
260.0,234.7881
260.5,234.2967
261.0,233.7867
261.5,233.2587
262.0,232.7132
262.5,232.1508
263.0,231.5721
263.5,230.9777
264.0,230.3683
264.5,229.7444
265.0,229.1067
265.5,228.4558
266.0,227.7924
266.5,227.1171
267.0,226.4305
267.5,225.7331
268.0,225.0256
268.5,224.3086
269.0,223.5826
269.5,222.8481
270.0,222.1058
270.5,221.3560
271.0,220.5992
271.5,219.8361
272.0,219.0669
272.5,218.2923
273.0,217.5125
273.5,216.7280
274.0,215.9391
274.5,215.1464
275.0,214.3501
275.5,213.5505
276.0,212.7481
276.5,211.9430
277.0,211.1357
277.5,210.3264
278.0,209.5154
278.5,208.7030
279.0,207.8893
279.5,207.0747
280.0,206.2594
280.5,205.4435
281.0,204.6274
281.5,203.8112
282.0,202.9951
282.5,202.1792
283.0,201.3638
283.5,200.5490
284.0,199.7349
284.5,198.9217
285.0,198.1096
285.5,197.2987
286.0,196.4891
286.5,195.6809
287.0,194.8742
287.5,194.0691
288.0,193.2659
288.5,192.4644
289.0,191.6649
289.5,190.8673
290.0,190.0719
290.5,189.2787
291.0,188.4877
291.5,187.6990
292.0,186.9127
292.5,186.1288
293.0,185.3474
293.5,184.5685
294.0,183.7923
294.5,183.0187
295.0,182.2478
295.5,181.4796
296.0,180.7142
296.5,179.9515
297.0,179.1918
297.5,178.4349
298.0,177.6809
298.5,176.9298
299.0,176.1816
299.5,175.4365
300.0,174.6943
300.5,173.9551
301.0,173.2190
301.5,172.4859
302.0,171.7559
302.5,171.0290
303.0,170.3051
303.5,169.5844
304.0,168.8667
304.5,168.1522
305.0,167.4408
305.5,166.7325
306.0,166.0274
306.5,165.3254
307.0,164.6265
307.5,163.9308
308.0,163.2382
308.5,162.5487
309.0,161.8624
309.5,161.1793
310.0,160.4993
310.5,159.8224
311.0,159.1487
311.5,158.4781
312.0,157.8106
312.5,157.1463
313.0,156.4851
313.5,155.8269
314.0,155.1719
314.5,154.5201
315.0,153.8713
315.5,153.2255
316.0,152.5829
316.5,151.9434
